taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
5208832	Gobiosoma bosc (Lacepède, 1800)	5208832	Gobiosoma bosc (Lacepède, 1800)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Gobiidae	4274	Gobiosoma	3237964	Gobiosoma bosc	5208832	LC
5226316	Agama picticauda (Peters, 1877)	5226316	Agama picticauda (Peters, 1877)	79	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Squamata	11592253			Agamidae	9199	Agama	9196151	Agama picticauda	5226316	LC
2489896	Dendroica coronata (Linnaeus, 1766)	7341805	Setophaga coronata (Linnaeus, 1766)	46	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Setophaga	2489984	Setophaga coronata	7341805	LC
9173089	Micrurus fulvius (Linnaeus, 1766)	9173089	Micrurus fulvius (Linnaeus, 1766)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Squamata	11592253			Elapidae	9455	Micrurus	8941741	Micrurus fulvius	9173089	LC
7531611	Leiothlypis ruficapilla (A.Wilson, 1811)	7531611	Leiothlypis ruficapilla (A.Wilson, 1811)	96	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Leiothlypis	7467942	Leiothlypis ruficapilla	7531611	LC
9752617	Ardea alba Linnaeus, 1758	9752617	Ardea alba Linnaeus, 1758	19710	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Pelecaniformes	7190953	Ardeidae	3685	Ardea	2480922	Ardea alba	9752617	LC
2382797	Orthopristis chrysoptera (Linnaeus, 1766)	2382797	Orthopristis chrysoptera (Linnaeus, 1766)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Haemulidae	4276	Orthopristis	2382792	Orthopristis chrysoptera	2382797	LC
2473290	Branchiostoma Costa, 1834	2473290	Branchiostoma Costa, 1834	1	GENUS	ACCEPTED	Animalia	1	Chordata	44	Leptocardii	7375758			Branchiostomatidae	5296	Branchiostoma	2473290			
2479407	Myiopsitta monachus (Boddaert, 1783)	2479407	Myiopsitta monachus (Boddaert, 1783)	40	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Psittaciformes	1445	Psittacidae	9340	Myiopsitta	2479406	Myiopsitta monachus	2479407	LC
2489181	Tachycineta bicolor (Vieillot, 1808)	2489181	Tachycineta bicolor (Vieillot, 1808)	2490	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Hirundinidae	5248	Tachycineta	2489178	Tachycineta bicolor	2489181	LC
5212349	Pogonias cromis (Linnaeus, 1766)	5212349	Pogonias cromis (Linnaeus, 1766)	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Sciaenidae	5062	Pogonias	2386505	Pogonias cromis	5212349	LC
5223351	Nerodia fasciata pictiventris (Cope, 1895)	5223351	Nerodia fasciata pictiventris (Cope, 1895)	31	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Squamata	11592253			Colubridae	6172	Nerodia	2454456	Nerodia fasciata	5223349	
7192392	Quiscalus major major	7192392	Quiscalus major major	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Icteridae	6176	Quiscalus	2484132	Quiscalus major	2484133	
2350570	Gambusia holbrooki Girard, 1859	2350570	Gambusia holbrooki Girard, 1859	12	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Cyprinodontiformes	547	Poeciliidae	7659	Gambusia	2349552	Gambusia holbrooki	2350570	LC
2407872	Sphoeroides nephelus (Goode & Bean, 1882)	2407872	Sphoeroides nephelus (Goode & Bean, 1882)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Tetraodontiformes	772	Tetraodontidae	2219	Sphoeroides	2407828	Sphoeroides nephelus	2407872	LC
5227671	Branchiostoma lanceolatum (Pallas, 1774)	5227671	Branchiostoma lanceolatum (Pallas, 1774)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Leptocardii	7375758			Branchiostomatidae	5296	Branchiostoma	2473290	Branchiostoma lanceolatum	5227671	NE
2395566	Hypsoblennius hentz (Lesueur, 1825)	2395566	Hypsoblennius hentz (Lesueur, 1825)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Blenniidae	4251	Hypsoblennius	2395530	Hypsoblennius hentz	2395566	LC
2480273	Haematopus palliatus Temminck, 1820	2480273	Haematopus palliatus Temminck, 1820	152	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Haematopodidae	4287243	Haematopus	2480260	Haematopus palliatus	2480273	LC
2494446	Carpodacus mexicanus (P.L.Statius Müller, 1776)	8323485	Haemorhous mexicanus (P.L.Statius Müller, 1776)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Haemorhous	4844128	Haemorhous mexicanus	8323485	LC
2346698	Lepisosteus platyrhincus DeKay, 1842	2346698	Lepisosteus platyrhincus DeKay, 1842	19	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Lepisosteiformes	1167	Lepisosteidae	3716	Lepisosteus	2346691	Lepisosteus platyrhincus	2346698	LC
2376648	Microgobius gulosus (Girard, 1858)	2376648	Microgobius gulosus (Girard, 1858)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Gobiidae	4274	Microgobius	2376642	Microgobius gulosus	2376648	LC
2432068	Siren lacertina Österdam, 1766	2432068	Siren lacertina Österdam, 1766	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Caudata	953	Sirenidae	2238	Siren	10868999	Siren lacertina	2432068	LC
2480283	Charadrius melodus Ord, 1824	2480283	Charadrius melodus Ord, 1824	62	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Charadriidae	2480210	Charadrius	2480277	Charadrius melodus	2480283	NT
7190666	Thamnophis sirtalis sirtalis	7190666	Thamnophis sirtalis sirtalis	5	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Squamata	11592253			Colubridae	6172	Thamnophis	2457825	Thamnophis sirtalis	2457522	
7580221	Bufo Garsault, 1764	7580221	Bufo Garsault, 1764	7	GENUS	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Bufonidae	6727	Bufo	7580221			NE
7759294	Drymarchon corais (Boie, 1827)	7759294	Drymarchon corais (Boie, 1827)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Squamata	11592253			Colubridae	6172	Drymarchon	2452316	Drymarchon corais	7759294	LC
7794320	Lampropeltis elapsoides (Holbrook, 1838)	7794320	Lampropeltis elapsoides (Holbrook, 1838)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Squamata	11592253			Colubridae	6172	Lampropeltis	9391215	Lampropeltis elapsoides	7794320	LC
10742338	Dryobates borealis (Vieillot, 1809)	9046711	Leuconotopicus borealis (Vieillot, 1809)	468	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Leuconotopicus	4845041	Leuconotopicus borealis	9046711	NE
2491082	Ammodramus caudacutus (J.F.Gmelin, 1788)	2491087	Ammospiza caudacuta (J.F.Gmelin, 1788)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Passerellidae	9410667	Ammospiza	2491739	Ammospiza caudacuta	2491087	EN
5202927	Ariopsis felis (Linnaeus, 1766)	5202927	Ariopsis felis (Linnaeus, 1766)	33	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Siluriformes	708	Ariidae	4512	Ariopsis	8289906	Ariopsis felis	5202927	LC
8332393	Spatula clypeata (Linnaeus, 1758)	8332393	Spatula clypeata (Linnaeus, 1758)	200	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Spatula	4850990	Spatula clypeata	8332393	LC
2394551	Enneacanthus gloriosus (Holbrook, 1855)	2394551	Enneacanthus gloriosus (Holbrook, 1855)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Centrarchidae	8513	Enneacanthus	2394546	Enneacanthus gloriosus	2394551	LC
2444222	Sistrurus miliarius Linnaeus, 1766	2444222	Sistrurus miliarius Linnaeus, 1766	4	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Squamata	11592253			Viperidae	5024	Sistrurus	2444221	Sistrurus miliarius	2444222	LC
2481695	Scolopax minor J.F.Gmelin, 1789	2481695	Scolopax minor J.F.Gmelin, 1789	11	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Scolopax	2481693	Scolopax minor	2481695	LC
2487463	Vireo altiloquus (Vieillot, 1808)	2487463	Vireo altiloquus (Vieillot, 1808)	166	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Vireonidae	9358	Vireo	2487406	Vireo altiloquus	2487463	LC
5789284	Onychoprion fuscatus (Linnaeus, 1766)	5789284	Onychoprion fuscatus (Linnaeus, 1766)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Onychoprion	3241980	Onychoprion fuscatus	5789284	LC
6178124	Rynchops niger niger	6178124	Rynchops niger niger	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Rynchops	2481206	Rynchops niger	2481209	
2480830	Bubulcus ibis (Linnaeus, 1758)	2480830	Bubulcus ibis (Linnaeus, 1758)	5893	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Pelecaniformes	7190953	Ardeidae	3685	Bubulcus	2480829	Bubulcus ibis	2480830	LC
2481817	Gallinago delicata (Ord, 1825)	2481817	Gallinago delicata (Ord, 1825)	337	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Gallinago	2481808	Gallinago delicata	2481817	LC
2498344	Cygnus atratus (Latham, 1790)	2498344	Cygnus atratus (Latham, 1790)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Cygnus	8996942	Cygnus atratus	2498344	LC
5219683	Sciurus niger Linnaeus, 1758	5219683	Sciurus niger Linnaeus, 1758	20	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Sciuridae	9456	Sciurus	2437489	Sciurus niger	5219683	LC
7059839	Campephilus principalis principalis	7059839	Campephilus principalis principalis	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Campephilus	2478560	Campephilus principalis	2478561	
2394503	Lepomis macrochirus Rafinesque, 1819	2394503	Lepomis macrochirus Rafinesque, 1819	6	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Centrarchidae	8513	Lepomis	2394482	Lepomis macrochirus	2394503	LC
2461434	Scincella lateralis (Say, 1822)	2461434	Scincella lateralis (Say, 1822)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Squamata	11592253			Scincidae	9115	Scincella	2461335	Scincella lateralis	2461434	LC
2477741	Picoides villosus (Linnaeus, 1766)	9192501	Leuconotopicus villosus (Linnaeus, 1766)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Leuconotopicus	4845041	Leuconotopicus villosus	9192501	LC
2480184	Fregata Lacepede, 1799	2480184	Fregata Lacepede, 1799	1	GENUS	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Suliformes	7192775	Fregatidae	5241	Fregata	2480184			NE
2498034	Anser cygnoides (Linnaeus, 1758)	2498034	Anser cygnoides (Linnaeus, 1758)	9	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Anser	2498016	Anser cygnoides	2498034	VU
2392516	Lagodon rhomboides (Linnaeus, 1766)	2392516	Lagodon rhomboides (Linnaeus, 1766)	11	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Sparidae	5068	Lagodon	2392515	Lagodon rhomboides	2392516	LC
2412960	Harengula jaguana Poey, 1865	2412960	Harengula jaguana Poey, 1865	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Clupeiformes	538	Clupeidae	7332	Harengula	2412944	Harengula jaguana	2412960	LC
2498247	Melanitta nigra (Linnaeus, 1758)	2498247	Melanitta nigra (Linnaeus, 1758)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Melanitta	2498237	Melanitta nigra	2498247	LC
5229204	Eudocimus ruber (Linnaeus, 1758)	5229204	Eudocimus ruber (Linnaeus, 1758)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Pelecaniformes	7190953	Threskiornithidae	5288	Eudocimus	10629993	Eudocimus ruber	5229204	LC
6172715	Lanius ludovicianus migrans W.Palmer, 1898	6172715	Lanius ludovicianus migrans W.Palmer, 1898	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Laniidae	9315	Lanius	2483315	Lanius ludovicianus	2492870	
6178043	Buteo lineatus alleni Ridgway, 1885	6178043	Buteo lineatus alleni Ridgway, 1885	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Buteo	2480517	Buteo lineatus	2480529	
5208038	Strongylura timucu (Walbaum, 1792)	5208038	Strongylura timucu (Walbaum, 1792)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Beloniformes	498	Belonidae	7190	Strongylura	2369083	Strongylura timucu	5208038	LC
2484391	Molothrus ater (Boddaert, 1783)	2484391	Molothrus ater (Boddaert, 1783)	1073	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Icteridae	6176	Molothrus	2484385	Molothrus ater	2484391	LC
6092631	Setophaga virens (J.F.Gmelin, 1789)	6092631	Setophaga virens (J.F.Gmelin, 1789)	464	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Setophaga	2489984	Setophaga virens	6092631	LC
2482082	Anhinga anhinga (Linnaeus, 1766)	2482082	Anhinga anhinga (Linnaeus, 1766)	18422	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Suliformes	7192775	Anhingidae	2989	Anhinga	2482079	Anhinga anhinga	2482082	LC
7341816	Setophaga pinus (Linnaeus, 1766)	7341816	Setophaga pinus (Linnaeus, 1766)	4907	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Setophaga	2489984	Setophaga pinus	7341816	LC
2400079	Menticirrhus saxatilis (Bloch & Schneider, 1801)	2400079	Menticirrhus saxatilis (Bloch & Schneider, 1801)	4	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Sciaenidae	5062	Menticirrhus	2400075	Menticirrhus saxatilis	2400079	LC
5229675	Tyrannus verticalis Say, 1823	5229675	Tyrannus verticalis Say, 1823	52	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Tyrannus	2483336	Tyrannus verticalis	5229675	LC
2394482	Lepomis Rafinesque, 1819	2394482	Lepomis Rafinesque, 1819	3	GENUS	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Centrarchidae	8513	Lepomis	2394482			NE
5231132	Zonotrichia leucophrys (J.R.Forster, 1772)	5231132	Zonotrichia leucophrys (J.R.Forster, 1772)	6	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Passerellidae	9410667	Zonotrichia	6173226	Zonotrichia leucophrys	5231132	LC
6175099	Sturnella magna argutula Bangs, 1899	6175099	Sturnella magna argutula Bangs, 1899	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Icteridae	6176	Sturnella	2484248	Sturnella magna	2484254	
